Drug Take-Back Site,Address,City,State,Zip Code,County,Phone Number,Hours of Availability,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Attention,Grant Owned,Box Status,Status
CVS #1891,"64 SOUTH LOCUST ST.,",HAZLETON,PA,18201,"LUZERNE,PA",5704545521,Follows Pharmacy Hours of Operation,"64 SOUTH LOCUST ST.,
HAZLETON, PA 18201
(40.95391, -75.9815)",POINT (-75.981247 40.953831),40.953831,-75.981247,,No,Pharmacy,Active
Township of Hampton Police Dept.,3101 McCully Road,Allison Park,PA,15101,Allegheny,(412)486-0400,,"3101 McCully Road
Allison Park, PA 15101
(40.58252, -79.93476)",POINT (-79.933736 40.585596),40.585596,-79.933736,Chief Thomas Vulakovich,Yes,,Active
Walgreens Pharmacy (South Philadelphia Location),2310 W Oregon Avenue,Philadelphia,PA,19145,Philadelphia,215–468–2481,,"2310 W Oregon Avenue
Philadelphia, PA 19145
(39.91892, -75.1873)",POINT (-75.186738 39.918257),39.918257,-75.186738,,No,,Active
"JEFFEX, INC.","111 S 11TH STREET, SUITE 1850",Philadelphia,PA,19107,Philadelphia,215-955-8845,Monday-Friday:7am-6pm / Saturday: 9-4pm on Sun: closed,"111 S 11TH STREET, SUITE 1850
Philadelphia, PA 19107
(39.94962, -75.15874)",POINT (-75.157931 39.949811),39.949811,-75.157931,,No,Pharmacy,Active
CVS #5447,200 S. LINCOLN AVE,NEWTOWN,PA,18940,"BUCKS,PA",2154979231,Follows Pharmacy Hours of Operation,"200 S. LINCOLN AVE
NEWTOWN, PA 18940
(40.22588, -74.93213)",POINT (-74.932294 40.225846),40.225846,-74.932294,,No,Pharmacy,Active
Huntingdon Borough Police Dept.,530 Washington St.,Huntingdon,PA,16652,Huntingdon,(814)643-3960,Monday-Friday 8:30 to 4:30,"530 Washington St.
Huntingdon, PA 16652
(40.48595, -78.01294)",POINT (-78.0122179 40.4857066),40.4857066,-78.0122179,Chief Brenneman,No,Operational,Active
Norwood Borough Police,10 W. Cleveland Ave,Norwood,PA,19074,Delaware,,,"10 W. Cleveland Ave
Norwood, PA 19074
(39.89189, -75.29733)",POINT (-75.297593 39.891832),39.891832,-75.297593,,No,,Active
CareSite Pharmacy Gray’s Woods,132 Abigail Lane,Port Matilda,PA,16870,Centre,814-272-1006,Monday - Friday: 8:30 a.m. – 6 p.m.; Saturday: 9 a.m. – 1 p.m.,"132 Abigail Lane
Port Matilda, PA 16870
(40.81424, -77.94163)",POINT (-77.941828 40.814567),40.814567,-77.941828,,No,Pharmacy,Active
State Police-Troop K / Philadelphia,2201 Belmont Ave.,Philadelphia,PA,19131,Philadelphia,,,"2201 Belmont Ave.
Philadelphia, PA 19131
(39.99707, -75.21768)",POINT (-75.218095 39.997494),39.997494,-75.218095,,No,,Active
Vintondale Police Department,351 Main Street,Vintondale,PA,15961,Cambria,,,"351 Main Street
Vintondale, PA 15961
(40.47893, -78.9136)",POINT (-78.916412 40.480361),40.480361,-78.916412,,No,,Active
Glenolden Borough Poice Department,38 Boon Avenue,Glenolden,PA,19036,Delaware,,Please contact location,"38 Boon Avenue
Glenolden, PA 19036
(39.89927, -75.28805)",POINT (-75.2882669 39.8990902),39.8990902,-75.2882669,,No,Operational,Active
Sweden Twp. Police Dept.,129 Cherry Springs Road,Coudersport,PA,16915,Potter,(814)274-0654,,"129 Cherry Springs Road
Coudersport, PA 16915
(41.75443, -77.94967)",POINT (-77.949933 41.754351),41.754351,-77.949933,Chief Bryan Phelps,Yes,,Active
Wayne County District Attorney's Office,925 Court Street,Honesdale,PA,18431,Wayne,(570)253-4912,M-F 8:30am-4:30pm.,"925 Court Street
Honesdale, PA 18431
(41.57463, -75.25444)",POINT (-75.254129 41.574731),41.574731,-75.254129,Det. Peter Hower,Yes,Operational,Active
Upper Darby Police Department,7236 W. Chester Pike,Upper Darby,PA,19082,Delaware,(610)352-7050,Please contact location,"7236 W. Chester Pike
Upper Darby, PA 19082
(39.96307, -75.26563)",POINT (-75.2662194 39.9629622),39.9629622,-75.2662194,,No,Operational,Active
Ferguson Township Police Dept.,3147 Research Drive,State College,PA,16801,Centre,(814)237-1172,,"3147 Research Drive
State College, PA 16801
(40.76229, -77.87506)",POINT (-77.87465 40.762249),40.762249,-77.87465,Chiefn Diane M. Conrad,Yes,,Active
Delaware County Government Center,201 W. Front Street,Media,PA,19063,Delaware,(610)891-5381,M-F 8:30-4:30,"201 W. Front Street
Media, PA 19063
(39.91919, -75.39177)",POINT (-75.3912764 39.9197129),39.9197129,-75.3912764,,No,Operational,Active
West Reading Police Department,500 Chestnut Street,West Reading,PA,19611,Berks,(610)373-0111,"Monday to Friday 8am-8pm, except holidays","500 Chestnut Street
West Reading, PA 19611
(40.33358, -75.94805)",POINT (-75.9481781 40.3332278),40.3332278,-75.9481781,,No,Operational,Active
HAYDENS PHARMACY,505 NORTH FOURTH STREET,YOUNGWOOD,PA,15697,Westmoreland,,,"505 NORTH FOURTH STREET
YOUNGWOOD, PA 15697
(40.24537, -79.57539)",POINT (-79.575455 40.246066),40.246066,-79.575455,,No,Pharmacy,Active
Bensalem Township Police,2400 Byberry Road,Bensalem,PA,19020,Bucks,(215)633-3700,,"2400 Byberry Road
Bensalem, PA 19020
(40.10896, -74.94379)",POINT (-74.9426823 40.1099175),40.1099175,-74.9426823,,No,Operational,Active
Blairsville Borough Police Dept.,201 E. Market Street,Blairsville,PA,15717,Indiana,(724)459-7555,24 hours a day/7 days a week.,"201 E. Market Street
Blairsville, PA 15717
(40.43102, -79.26086)",POINT (-79.2604859 40.4310432),40.4310432,-79.2604859,Chief Michael Allman,Yes,Operational,Active
READING HOSPITAL AMBULATORY PHARMACY,420 S 5TH AVENUE,READING,PA,19611,Berks,,,"420 S 5TH AVENUE
READING, PA 19611
(40.33006, -75.94823)",POINT (-75.948362 40.329648),40.329648,-75.948362,,No,Pharmacy,Active
Connellsville Police Dept.,110 North Arch Street,Connellsville,PA,15425,Fayette,(724)628-2501,,"110 North Arch Street
Connellsville, PA 15425
(40.01814, -79.5915)",POINT (-79.591605 40.018555),40.018555,-79.591605,Chief William Hammerle,Yes,,Active
Washington County Courthouse (c/o Office of the Sheriff),1 S Main St #2004,Washington,PA,15301,Washington,Sheriff Samuel Romano,unknown,"1 S Main St #2004
Washington, PA 15301
(40.17048, -80.24535)",POINT (-80.245842 40.170411),40.170411,-80.245842,Sheriff Samuel Romano,Yes,ordered 4-26-16,Active
Pennridge Regional Police,200 Ridge Road,Sellersville,PA,18960,Bucks,(215)257-5104,M-F 8-4,"200 Ridge Road
Sellersville, PA 18960
(40.37364, -75.31672)",POINT (-75.3065762 40.3495523),40.3495523,-75.3065762,,No,Operational,Active
Lackawanna County Sheriff's Dept.,200 North Washington Ave.,Scranton,PA,18503,Lackawanna,(570)963-6719,M-F 8am-4pm,"200 North Washington Ave.
Scranton, PA 18503
(41.40802, -75.66357)",POINT (-75.6636974 41.4079445),41.4079445,-75.6636974,Chief Dominick Manetti,Yes,Operational,Active
Erie County Courthouse Lobby,140 W 6th St,Erie,PA,16501,Erie,(814)451-6000,M-F 8:30-4:30 (@ front door),"140 W 6th St
Erie, PA 16501
(42.12864, -80.08758)",POINT (-80.0881379 42.1292995),42.1292995,-80.0881379,,No,Operational,Active
Bridgeport Borough Police Dept.,4th & Mill Streets,Bridgeport,PA,19405,Montgomery,(610)272-5660,M-F 8am-4pm,,POINT (-75.3451838 40.1051084),40.1051084,-75.3451838,Chief John Dougherty,Yes,Operational,Active
Lower Frederick Township Police Dept.,53 Spring Mount Road,Zieglerville,PA,19492,Montgomery,(610)287-4434,unknown,,POINT (-75.47231 40.278384),40.278384,-75.47231,Chief Paul Maxey,Yes,ordered 4-26-16,Active
CVS #1617,50 BRIDGEST.,TUNKHANNOCK,PA,18657,"WYOMING,PA",5708366777,Follows Pharmacy Hours of Operation,"50 BRIDGEST.
TUNKHANNOCK, PA 18657
(41.53708, -75.9468)",POINT (-75.946578 41.537279),41.537279,-75.946578,,No,Pharmacy,Active
Lehigh Township Police Dept.,1043 Municipal Road,Walnutport,PA,18088,Northampton,(610)760-8800,,"1043 Municipal Road
Walnutport, PA 18088
(40.77366, -75.55246)",POINT (-75.551284 40.774791),40.774791,-75.551284,Chief Scott Fogel,Yes,Operational,Active
State Police-Troop F / Lamar,113 Boyd Rd.,Mill Hall,PA,17751,Clinton,,,"113 Boyd Rd.
Mill Hall, PA 17751
(41.06791, -77.44631)",POINT (-80.126956 41.386954),41.386954,-80.126956,,No,,Active
Shillington Police Department,999 East Broad Street,Shillington,PA,19607,Berks,(610)777-3947,Monday to Friday 8am-4:30pm,"999 East Broad Street
Shillington, PA 19607
(40.29663, -75.95874)",POINT (-75.964209 40.2988069),40.2988069,-75.964209,,No,Operational,Active
Lower Paxton Township Police Dept.,425 Prince Street,Harrisburg,PA,17109,Dauphin,(717)657-5656,M-F 8-4,"425 Prince Street
Harrisburg, PA 17109
(40.29802, -76.80563)",POINT (-76.8877709 40.2641911),40.2641911,-76.8877709,Director Dave Johnson,No,Operational,Active
East Franklin Township Police Dept.,106 Cherry Orchard Avenue,Kittaning,PA,16201,Armstrong,(724)543-1944,,"106 Cherry Orchard Avenue
Kittaning, PA 16201
(40.85239, -79.55249)",POINT (-79.552529 40.852416),40.852416,-79.552529,Sgt. William Evans,Yes,,Active
Upper Saucon Twp. Police Dept.,5500 Camp Meeting Road,Center Valley,PA,18034,Lehigh,(610)282-3064,"M-F 8am-Noon, 1pm-4pm.","5500 Camp Meeting Road
Center Valley, PA 18034
(40.53511, -75.40446)",POINT (-75.4039076 40.5349842),40.5349842,-75.4039076,Chief Robert Coyle,Yes,Operational,Active
Bangor Police Dept.,30 1st Street,Bangor,PA,18013,Northampton,(610)588-4720,,"30 1st Street
Bangor, PA 18013
(40.86751, -75.20628)",POINT (-75.206484 40.867433),40.867433,-75.206484,Chief Scott Felchock,Yes,Operational,Active
City of Hermitage Police Dept.,800 North Hermitage Road,Hermitage,PA,16148,Mercer,(724)981-6780,M-F 10am-2pm.,"800 North Hermitage Road
Hermitage, PA 16148
(41.24473, -80.44864)",POINT (-80.4488565 41.2441815),41.2441815,-80.4488565,Chief Brian Blair,Yes,Operational,Active
Cranberry Township Police Dept.,2525 Rochester Road,Cranberry Township,PA,16066,Butler,(724)776-5180,M-F 8am-10pm Sat 9-3,"2525 Rochester Road
Cranberry Township, PA 16066
(40.6984, -80.1082)",POINT (-80.1080657 40.6980258),40.6980258,-80.1080657,Dir. Jeffrey A. Schueler,Yes,Operational,Active
Warminster Township Police,401 Gibson Avenue,Warminster,PA,18974,Bucks,(215)443-5000,24 hours a day/ 7 days a week,"401 Gibson Avenue
Warminster, PA 18974
(40.2055, -75.10822)",POINT (-75.1078738 40.2053969),40.2053969,-75.1078738,,No,Operational,Active
State Police-Troop R / Blooming Grove,434 Rt 402,Hawley,PA,18428,Pike,,,"434 Rt 402
Hawley, PA 18428
(41.3868, -75.13083)",POINT (-75.130887 41.382454),41.382454,-75.130887,,No,,Active
Berwick Police Dept.,1800 North Market Street,Berwick,PA,18603,Columbia,(570)752-3677,"M,T,Th,F 8am-5pm/Wed 8am-12:30pm.","1800 North Market Street
Berwick, PA 18603
(41.06699, -76.24548)",POINT (-76.245496 41.067361),41.067361,-76.245496,Chief Kenneth Strish,Yes,Operational,Active
Cambridge Springs Police Dept.,161 Carringer Street,Cambridge Springs,PA,16403,Crawford,(814)398-4112,,"161 Carringer Street
Cambridge Springs, PA 16403
(41.80456, -80.06055)",POINT (-80.0606766 41.804587),41.804587,-80.0606766,Chief Eric C. Johnston,No,Operational,Active
Mifflinburg Police Dept.,120 North 3rd Street,Mifflinburg,PA,17844,Union,(570)966-1027,,"120 North 3rd Street
Mifflinburg, PA 17844
(40.92038, -77.04606)",POINT (-77.045835 40.920344),40.920344,-77.045835,Chief Douglas Bickhart,Yes,Operational,Active
CVS #8979,550 NORTH PROGRESS AVE.,HARRISBURG,PA,17109,"DAUPHIN,PA",7176571149,Follows Pharmacy Hours of Operation,"550 NORTH PROGRESS AVE.
HARRISBURG, PA 17109
(40.29869, -76.8468)",POINT (-76.846735 40.298483),40.298483,-76.846735,,No,Pharmacy,Active
Wesleyville Borough Police,3421 Buffalo Rd,Wesleyville,PA,16510,Erie,(814)899-0681,24 hours a day/ 7 days a week,"3421 Buffalo Rd
Wesleyville, PA 16510
(42.14139, -80.01279)",POINT (-80.012577 42.1411206),42.1411206,-80.012577,,No,Operational,Active
Perkasie Borough Police,311 S. 9th Street,Perkasie,PA,18944,Bucks,(215)257-6876,M-F 8:30-4:30,"311 S. 9th Street
Perkasie, PA 18944
(40.37272, -75.30184)",POINT (-75.3018488 40.3728202),40.3728202,-75.3018488,,No,Operational,Active
Mount Carmel Borough Police Dept.,"137 West Fourth St., Ste. 2",Mount Carmel,PA,17851,Northumberland,(570)339-6020,24 hours a day/ 7 days a week,"137 West Fourth St., Ste. 2
Mount Carmel, PA 17851
(40.79545, -76.41509)",POINT (-76.4150191 40.7954786),40.7954786,-76.4150191,Chief Todd Owens,Yes,Operational,Active
"CVS PHARMACY, L.L.C. # 04051 (PITTSBURGH)",1740 WASHINGTON RD,PITTSBURGH,PA,15241,Allegheny,,,"1740 WASHINGTON RD
PITTSBURGH, PA 15241
(40.34754, -80.0552)",POINT (-80.055004 40.347631),40.347631,-80.055004,,No,Pharmacy,Active
CVS #1681,"311 BELLEFONTE AVE,",LOCK HAVEN,PA,17745,"CLINTON,PA",5707488260,Follows Pharmacy Hours of Operation,"311 BELLEFONTE AVE,
LOCK HAVEN, PA 17745
(41.13513, -77.45247)",POINT (-77.452359 41.135437),41.135437,-77.452359,,No,Pharmacy,Active
Horsham Police Department,1025 Horsham Road,Horsham,PA,19044,Montgomery,,24 hours a day,"1025 Horsham Road
Horsham, PA 19044
(40.207725, -75.179011)",POINT (-75.178699 40.207283),40.207283,-75.178699,,No,Operational,Active
Boyertown Bourough Hall,100 S. Washington St,Boyertown,PA,19512,Berks,,,"100 S. Washington St
Boyertown, PA 19512
(40.33041, -75.63674)",POINT (-75.6365 40.330627),40.330627,-75.6365,,No,Operational,Active
Shade Mountain Pharmacy,9627 Route 35,Mt. Pleasant Mills,PA,17853,Snyder,570-539-2050,"Monday, Tuesday & Thursday: 9 a.m. – 8 p.m./ Wednesday & Friday: 9 a.m. – 6 p.m./ Saturday: 9 a.m. – 2 p.m.","9627 Route 35
Mt. Pleasant Mills, PA 17853
(40.7218, -77.02227)",POINT (-77.022217 40.721499),40.721499,-77.022217,,No,Pharmacy,Active
Wilson Borough Police Dept.,2035 Butler Street,Easton,PA,18042,Northampton,(610)253-1134,,"2035 Butler Street
Easton, PA 18042
(40.68411, -75.24167)",POINT (-75.241698 40.684098),40.684098,-75.241698,"Chief Steven J. Parkansky, Jr.",Yes,Operational,Active
West Goshen Twp. Police Dept.,1025 Paoli Pike,West Chester,PA,19380,Chester,(610)696-7400,M-F 7:00 am-10:30 pm,"1025 Paoli Pike
West Chester, PA 19380
(39.97253, -75.58101)",POINT (-75.582278 39.973236),39.973236,-75.582278,Sgt. Michael Carroll,Yes,Operational,Active
Lower Windsor Township Police Department,2425 Craley Road,Wrightsville,PA,17368,York,(717) 244-6813,Open Monday through Friday from 8AM to 4:40PM,"2425 Craley Road
Wrightsville, PA 17368
(39.94186, -76.52197)",POINT (-76.510154 39.947493),39.947493,-76.510154,,No,,Active
CareSite Pharmacy - CWB,175 S. Wilkes Barre Blvd.,Wilkes-Barre,PA,18702,Luzerne,570-821-0808,Monday - Friday: 9 a.m. – 6 p.m / Saturday: 9 a.m. – 1 p.m.,"175 S. Wilkes Barre Blvd.
Wilkes-Barre, PA 18702
(41.23993, -75.88343)",POINT (-75.883577 41.240107),41.240107,-75.883577,,No,,Active
Giant Eagle Pharmacy #0071,181 Sophrira Lane,Altoona,PA,16602,Blair,(814) 946-4267,Pharmacy Hours,"181 Sophrira Lane
Altoona, PA 16602
(40.48529, -78.38756)",POINT (-78.387245 40.484056),40.484056,-78.387245,,No,Pharmacy,Active
St. Luke's Hospital - Quakertown Campus Main Lobby,1021 Park Ave,Quakertown,PA,18951,Bucks,,,"1021 Park Ave
Quakertown, PA 18951
(40.43803, -75.34837)",POINT (-75.3488628 40.438722),40.438722,-75.3488628,,No,active,Active
Pike County Administration Building (Sheriff's Office),506 Broad Street,Milford,PA,18337,Pike,(570)296-6459,M-F 8:30 - 4,"506 Broad Street
Milford, PA 18337
(41.32499, -74.80059)",POINT (-74.800082 41.324881),41.324881,-74.800082,Sheriff Philip Bueki,Yes,Operational,Active
North Versailles Police Department,1401 Greensburg Ave Ste 2,North Versailles,PA,15137,Allegheny,(412) 823-1111,,"1401 Greensburg Ave Ste 2
North Versailles, PA 15137
(40.38111, -79.81769)",POINT (-79.819328 40.389259),40.389259,-79.819328,,No,,Active
Weis Market (Sunbury),135-147 Market St,Sunbury,PA,17801,Northumberland,570) 286-4121,7:00am - 9:00pm; Mon - Fri,"135-147 Market St
Sunbury, PA 17801
(40.86213, -76.79559)",POINT (-76.79533 40.8624007),40.8624007,-76.79533,,No,active,Active
METHODIST HOSPITAL APOTHECARY,"2301 SOUTH BROAD STREET, 1st Floor",Philadelphia,PA,19148,Philadelphia,215-952-9000,Monday-Friday: 8:30am-5:00 pm / Saturday: 9-5pm / Sun: 9-5pm,"2301 SOUTH BROAD STREET, 1st Floor
Philadelphia, PA 19148
(39.92112, -75.16913)",POINT (-75.169586 39.921461),39.921461,-75.169586,,No,Pharmacy,Active
Muncy Borough Police Dept.,14 North Washington St.,Muncy,PA,17756,Lycoming,(570)329-4060,,"14 North Washington St.
Muncy, PA 17756
(41.20644, -76.78482)",POINT (-76.784808 41.2061997),41.2061997,-76.784808,Chief James W. Dorman,Yes,Operational,Active
Titusville Police Dept.,323 North Franklin Street,Titusville,PA,16354,Crawford,(814)827-1890,M-F 8am-4pm.,"323 North Franklin Street
Titusville, PA 16354
(41.63048, -79.67338)",POINT (-79.6736025 41.6297249),41.6297249,-79.6736025,Chief Gary L. Thomas,Yes,Operational,Active
State Police-Troop D / Beaver,1400 Brighton Rd.,Beaver,PA,15009,Beaver,,,"1400 Brighton Rd.
Beaver, PA 15009
(40.71096, -80.36695)",POINT (-80.36655 40.711432),40.711432,-80.36655,,No,,Active
Penn Hills Police Dept.,12245 Frankstown Road,Pittsburgh,PA,15235,Allegheny,(412)795-3500,,"12245 Frankstown Road
Pittsburgh, PA 15235
(40.4722, -79.81955)",POINT (-79.819842 40.472069),40.472069,-79.819842,Chief Howard Burton,Yes,,Active
State Police-Troop H / York,110 Trooper Ct.,York,PA,17403,York,,,"110 Trooper Ct.
York, PA 17403
(39.86341, -76.70178)",POINT (-76.70163 39.863227),39.863227,-76.70163,,No,,Active
Mercersburg Police Dept.,113 South Main Street,Mercersburg,PA,17236,Franklin,(717)328-3647,,"113 South Main Street
Mercersburg, PA 17236
(39.8264, -77.90372)",POINT (-77.9036132 39.8263491),39.8263491,-77.9036132,Chief John D. Zechman,Yes,Operational,Active
WellSpan Pharmacy (Ephrata),183 N Reading Road,Ephrata,PA,17522,Lancaster,717-721-5784,"Mon-Fri 7:00 am to 7:00 pm, Saturday 9:00 am to 5:00 pm","183 N Reading Road
Ephrata, PA 17522
(40.18777, -76.18176)",POINT (-76.181483 40.187631),40.187631,-76.181483,Clint Roderick,No,Pharmacy,Active
Giant Eagle Pharmacy #0008,200 Tarentum Bridge Road,New Kensington,PA,15068,Westmoreland,(724) 339-4943,Pharmacy Hours,"200 Tarentum Bridge Road
New Kensington, PA 15068
(40.59218, -79.75002)",POINT (-79.749626 40.592676),40.592676,-79.749626,,No,Pharmacy,Active
Easttown Police Department,566 Beaumont Rd,Devon,PA,19333,Chester,(610) 341-9780,,"566 Beaumont Rd
Devon, PA 19333
(40.0227, -75.42649)",POINT (-75.42646 40.021629),40.021629,-75.42646,,No,,Active
CVS #6042,3210 CARLISLE RD,DOVER,PA,17315,"YORK,PA",7172926665,Follows Pharmacy Hours of Operation,"3210 CARLISLE RD
DOVER, PA 17315
(39.98418, -76.82478)",POINT (-76.825334 39.983854),39.983854,-76.825334,,No,Pharmacy,Active
North Middleton Township Police Dept.,2051 Spring Road,Carlisle,PA,17013,Cumberland,(717)243-7910,M-F 7am-4pm,"2051 Spring Road
Carlisle, PA 17013
(40.23751, -77.17939)",POINT (-77.1804332 40.2375734),40.2375734,-77.1804332,Chief Douglas W. Reitz,Yes,Operational,Active
Susquehanna Health Pharmacy,"740 High St, Ste 1004",Williamsport,PA,17701,Lycoming,570-321-2818,,"740 High St, Ste 1004
Williamsport, PA 17701
(41.24649, -77.01593)",POINT (-77.0162548 41.2466022),41.2466022,-77.0162548,Julie Barner,No,Pharmacy,Active
Philadelphia Police Dept.-35th Police District,N. Broad & Champlost Sts.,Philadelphia,PA,19141,Philadelphia,(215)686-3350,,"N. Broad & Champlost Sts.
Philadelphia, PA 19141
(40.04442, -75.14354)",POINT (-75.143547 40.04444),40.04444,-75.143547,Capt. Joseph Fredricksdorf,Yes,Operational,Active
State Police-Troop F / Selinsgrove,204 Universal Rd.,Selinsgrove,PA,17870,Snyder,,,"204 Universal Rd.
Selinsgrove, PA 17870
(40.80857, -76.91368)",POINT (-76.913127 40.808875),40.808875,-76.913127,,No,,Active
Whitehall Twp. Police Dept.,3731 Lehigh Street,Whitehall,PA,18052,Lehigh,(610)437-3042,M-F 7am-3pm by appt.w/ Ofcr. Paul Davis; No holidays.,"3731 Lehigh Street
Whitehall, PA 18052
(40.65496, -75.49857)",POINT (-75.4985875 40.6551094),40.6551094,-75.4985875,Chief Linda Kulp,Yes,Operational,Active
Geisinger CareSite Pharmacy (Dallas),114 Lt. Michael Cleary Drive,Dallas,PA,18612,Luzerne,(570)674-2001,M-F 8:30-6pm and Sat 9am-1pm.,"114 Lt. Michael Cleary Drive
Dallas, PA 18612
(41.3321, -75.9498)",POINT (-75.949516 41.331008),41.331008,-75.949516,Chief Robert G. Jolley,Yes,,Active
South Londonderry Township Police Department,27 W. Market St.,Palmyra,PA,17078,Lebanon,717-838-1376,M-F    9:00 – 3:00,"27 W. Market St.
Palmyra, PA 17078
(40.27886, -76.58318)",POINT (-76.582944 40.278593),40.278593,-76.582944,,Yes,,Active
Columbia Borough Police Dept.,308 Locust Street,Columbia,PA,17512,Lancaster,(717)684-7735,M- 8-4/ Tues-Sat 8-4 then 6pm-2am,"308 Locust Street
Columbia, PA 17512
(40.03208, -76.50228)",POINT (-76.5021332 40.0319252),40.0319252,-76.5021332,"Chief Jack R. Brommer, Jr.",Yes,Operational,Active
Saint Vincent College Dept. of Public Safety,300 Fraser Purchase Road,Latrobe,PA,15650,Westmoreland,(724) 805-2186,M-F 8am-4:30pm.,"300 Fraser Purchase Road
Latrobe, PA 15650
(40.29417, -79.3981)",POINT (-79.40566 40.292424),40.292424,-79.40566,Director Steven D. Brown,Yes,Ordered,Active
State Police-Troop N / Stroudsburg,2370 Rimrock Drive,Stroudsburg,PA,18360,Monroe,570-619-6480,,"2370 Rimrock Drive
Stroudsburg, PA 18360
(40.97643, -75.28678)",POINT (-75.27916 41.002245),41.002245,-75.27916,,No,,Active
Alliance Pharmacy Company - Jefferson Health,1245 Highland Ave,Abington,PA,19001,Montgomery,(215) 481-4318,Mon – Fri: 7:30 am to 5:30 pm,"1245 Highland Ave
Abington, PA 19001
(40.12064, -75.11959)",POINT (-75.12251 40.118706),40.118706,-75.12251,Stephanie Piono,No,Pharmacy,Active
CVS #1599,700 WEST FRONT ST.,BERWICK,PA,18603,"COLUMBIA,PA",5707527462,Follows Pharmacy Hours of Operation,"700 WEST FRONT ST.
BERWICK, PA 18603
(41.05062, -76.24461)",POINT (-76.244608 41.050381),41.050381,-76.244608,,No,Pharmacy,Active
Kiskiminetas Township Police Dept.,1222 Old State Road,Apollo,PA,15613,Armstrong,(724)478-3357,,"1222 Old State Road
Apollo, PA 15613
(40.58541, -79.5289)",POINT (-79.528896 40.585051),40.585051,-79.528896,Chief Jerrod Thompson,Yes,,Active
Borough of Green Tree Police Dept.,10 West Manilla Avenue,Pittsburgh,PA,15220,Allegheny,(412)921-8624,unknown,"10 West Manilla Avenue
Pittsburgh, PA 15220
(40.41848, -80.04693)",POINT (-80.047023 40.418767),40.418767,-80.047023,Chief Colin Cleary,Yes,ordered 4-26-16,Active
Hershey Medical Center Campus University Physicians Center,200 Campus Dr,Hershey,PA,17033,Dauphin,(800) 243-1455,,"200 Campus Dr
Hershey, PA 17033
(40.26351, -76.67232)",POINT (-76.6721578 40.2644311),40.2644311,-76.6721578,,No,,Active
Cumberland Co. Old Prison,37 East High Street,Carlisle,PA,17013,Cumberland,(717)240-6392,"M-F, 8am-4:30pm","37 East High Street
Carlisle, PA 17013
(40.2017, -77.18713)",POINT (-77.187317 40.2013796),40.2013796,-77.187317,Sheriff Ronny R. Anderson,Yes,Operational,Active
Quakertown Borough Police,35 N. Third Street,Quakertown,PA,18951,Bucks,(215)536-5002,M-F 8:30-5,"35 N. Third Street
Quakertown, PA 18951
(40.44232, -75.33703)",POINT (-75.336243 40.4424486),40.4424486,-75.336243,,No,Operational,Active
City of McKeesport Police Dept.,201 Lysle Boulevard,McKeesport,PA,15132,Allegheny,(412)675-5050,,"201 Lysle Boulevard
McKeesport, PA 15132
(40.35137, -79.8664)",POINT (-79.866429 40.351608),40.351608,-79.866429,Chief Bryan Washowich,Yes,,Active
Western Berks Regional Police Department,100 N. Reber Street,Wernersville,PA,19565,Berks,(610)678-2835,Monday to Friday 9am – 2pm,"100 N. Reber Street
Wernersville, PA 19565
(40.33127, -76.07698)",POINT (-76.0770299 40.331069),40.331069,-76.0770299,,Yes,Operational,Active
Rockledge Borough Police Dept.,1 Park Avenue,Rockledge,PA,19046,Montgomery,(215)379-8801,unknown,"1 Park Avenue
Rockledge, PA 19046
(40.08224, -75.09047)",POINT (-75.090718 40.082033),40.082033,-75.090718,Chief Jerry Miller,Yes,ordered 4-26-16,Active
Upper Merion Township Police Department,175 W. Valley Forge Rd,King of Prussia,PA,19406,Montgomery,(610)265-3232,24 hours a day/ 7 days a week,"175 W. Valley Forge Rd
King of Prussia, PA 19406
(40.10248, -75.37045)",POINT (-75.3924348 40.1031473),40.1031473,-75.3924348,Chief Ronald Fonock,No,Operational,Active
Logan Township Police Dept.,100 Chief Logan Circle,Altoona,PA,16602,Blair,(814)949-3364,,"100 Chief Logan Circle
Altoona, PA 16602
(40.49449, -78.39995)",POINT (-78.338318 40.590606),40.590606,-78.338318,Chief Timothy J. Mercer,Yes,,Active
Nether Providence Township Police Department,214 Sykes Road,Wallingford,PA,19086,Delaware,,Please contact location,"214 Sykes Road
Wallingford, PA 19086
(39.90074, -75.36856)",POINT (-75.368557 39.900373),39.900373,-75.368557,,No,Operational,Active
West Mead Twp. Police Dept.,1150 Morgan Village Drive,Meadville,PA,16335,Crawford,(814)336-1005,,"1150 Morgan Village Drive
Meadville, PA 16335
(41.62803, -80.13362)",POINT (-80.1337391 41.6288733),41.6288733,-80.1337391,Sgt. Michael Broderick,Yes,Operational,Active
Carroll Township Police Department,555 Chestnut Grove Road,Dillsburg,PA,17019,York,(717)432-3317,"Open Monday through Friday, 8:30AM to 4:30PM","555 Chestnut Grove Road
Dillsburg, PA 17019
(40.10959, -76.98818)",POINT (-76.986217 40.109663),40.109663,-76.986217,,No,Operational,Active
Giant Eagle Pharmacy #0067,8080 McIntyre Square Drive,Pittsburgh,PA,15237,Allegheny,(412) 364-8747,Pharmacy Hours,"8080 McIntyre Square Drive
Pittsburgh, PA 15237
(40.55692, -80.01824)",POINT (-80.018644 40.555091),40.555091,-80.018644,,No,Pharmacy,Active
